user_id,timestamp,emotion,text_entry,gender,age,activity_level
user_2,2025-08-27 14:35:25.140846,Felicidad,Me ascendieron en el trabajo.,Masculino,33,59
user_1,2025-08-27 17:35:25.140846,Alegría,Todo salió bien en el examen.,No binario,25,81
user_4,2025-08-19 20:35:25.140846,Calma,Todo está en orden.,Femenino,22,3
user_3,2025-08-20 18:35:25.140846,Felicidad,Me ascendieron en el trabajo.,Femenino,45,57
user_5,2025-08-14 03:35:25.140846,Ansiedad,No puedo dormir bien.,No binario,19,54
user_2,2025-08-22 11:35:25.140846,Ira,Estoy frustrado con el tráfico.,No binario,19,51
user_2,2025-08-07 03:35:25.140846,Calma,Todo está en orden.,Femenino,22,25
user_5,2025-08-21 20:35:25.140846,Ansiedad,Tengo mucho trabajo acumulado.,Masculino,33,73
user_5,2025-08-09 23:35:25.140846,Felicidad,Una cena increíble con mi pareja.,No binario,25,16
user_4,2025-08-07 12:35:25.140846,Calma,Todo está en orden.,Femenino,33,80
user_1,2025-08-12 12:35:25.140846,Felicidad,Me ascendieron en el trabajo.,Femenino,45,85
user_5,2025-08-28 19:35:25.140846,Alegría,Hoy fue un gran día.,Femenino,25,22
user_2,2025-08-29 18:35:25.140846,Ira,Estoy frustrado con el tráfico.,Masculino,33,99
user_2,2025-08-09 00:35:25.140846,Alegría,Todo salió bien en el examen.,Femenino,33,52
user_1,2025-08-26 03:35:25.140846,Tristeza,No me sentí valorado hoy.,Masculino,19,100
user_1,2025-08-19 09:35:25.140846,Calma,Todo está en orden.,Masculino,25,84
user_1,2025-08-06 02:35:25.140846,Tristeza,Un día gris.,No binario,33,92
user_5,2025-08-04 02:35:25.140846,Alegría,Me siento muy feliz por el logro de mi amigo.,Femenino,33,14
user_2,2025-08-07 21:35:25.140846,Ira,Estoy frustrado con el tráfico.,No binario,19,28
user_5,2025-08-14 22:35:25.140846,Ansiedad,Tengo mucho trabajo acumulado.,Masculino,33,44
user_5,2025-08-29 10:35:25.140846,Ira,No puedo creer lo que sucedió.,No binario,33,7
user_5,2025-08-19 21:35:25.140846,Calma,Meditando en el parque.,Masculino,45,8
user_3,2025-08-28 14:35:25.140846,Ira,No puedo creer lo que sucedió.,Femenino,25,74
user_2,2025-08-17 09:35:25.140846,Ansiedad,No puedo dormir bien.,No binario,45,33
user_3,2025-08-20 05:35:25.140846,Alegría,Me siento muy feliz por el logro de mi amigo.,Femenino,45,81
user_4,2025-08-23 22:35:25.140846,Felicidad,Me ascendieron en el trabajo.,Femenino,25,4
user_4,2025-08-24 00:35:25.140846,Ira,Estoy frustrado con el tráfico.,No binario,22,98
user_5,2025-08-06 20:35:25.140846,Tristeza,No me sentí valorado hoy.,Femenino,22,23
user_4,2025-08-11 18:35:25.140846,Ansiedad,Tengo mucho trabajo acumulado.,Masculino,22,36
user_1,2025-08-30 12:35:25.140846,Ira,Estoy frustrado con el tráfico.,Masculino,45,100
user_5,2025-08-23 16:35:25.140846,Alegría,Hoy fue un gran día.,Femenino,25,6
user_4,2025-08-18 23:35:25.140846,Alegría,Hoy fue un gran día.,No binario,25,14
user_2,2025-08-15 17:35:25.140846,Tristeza,No me sentí valorado hoy.,Masculino,30,79
user_2,2025-08-03 11:35:25.140846,Ansiedad,Tengo mucho trabajo acumulado.,Masculino,33,76
user_3,2025-08-03 18:35:25.140846,Ira,Una persona me faltó el respeto.,No binario,45,36
user_1,2025-08-31 13:35:25.140846,Ansiedad,No puedo dormir bien.,No binario,33,10
user_5,2025-08-10 05:35:25.140846,Calma,Todo está en orden.,Femenino,30,39
user_4,2025-08-21 14:35:25.140846,Alegría,Me siento muy feliz por el logro de mi amigo.,No binario,22,54
user_5,2025-08-12 16:35:25.140846,Ansiedad,No puedo dormir bien.,Femenino,30,30
user_4,2025-08-03 21:35:25.140846,Ansiedad,Preocupado por el futuro.,No binario,19,1
user_2,2025-08-28 20:35:25.140846,Ansiedad,No puedo dormir bien.,No binario,19,63
user_5,2025-08-18 13:35:25.140846,Ira,Una persona me faltó el respeto.,No binario,30,65
user_2,2025-09-01 13:35:25.140846,Ansiedad,No puedo dormir bien.,No binario,25,34
user_3,2025-08-19 00:35:25.140846,Alegría,Todo salió bien en el examen.,No binario,19,45
user_5,2025-08-21 16:35:25.140846,Alegría,Hoy fue un gran día.,No binario,45,79
user_5,2025-08-24 21:35:25.140846,Alegría,Me siento muy feliz por el logro de mi amigo.,Masculino,45,7
user_1,2025-08-22 04:35:25.140846,Ansiedad,Preocupado por el futuro.,No binario,30,61
user_1,2025-08-30 23:35:25.140846,Alegría,Me siento muy feliz por el logro de mi amigo.,Femenino,33,59
user_3,2025-08-30 21:35:25.140846,Felicidad,Una cena increíble con mi pareja.,No binario,33,35
user_2,2025-08-17 23:35:25.140846,Felicidad,Una cena increíble con mi pareja.,Femenino,33,34
user_3,2025-09-01 11:35:25.140846,Ira,Una persona me faltó el respeto.,Femenino,30,62
user_5,2025-08-07 08:35:25.140846,Ansiedad,Preocupado por el futuro.,Masculino,45,59
